created_at	text	in_reply_to_screen_name	retweet_count	favorite_count	source	id_str
Wed Jan 20 23:02:10 +0000 2021	One of the things I’m most looking forward to post-#COVID19 is not seeing close-ups of needles going in arms every… 		0	4	Twitter for iPhone	1352028674036535296
Thu Jan 21 04:11:24 +0000 2021	At least two members of the public are condemning “being forced” to listen to Dr. Mitchell’s presentation on the CO… 	ashlyn_ohara	0	2	Twitter for iPhone	1352106496302096384
Thu Jan 21 00:35:41 +0000 2021	@chrislhayes Breaking news: Seven hours into the Biden administration, the U.S. magically finds itself on the other… 	chrislhayes	0	1	Twitter for iPhone	1352052208326606848
Wed Jan 20 07:36:11 +0000 2021	@unitysf_240page 1480 Church St. Noe Valley for years. Loved it. We have crushed COVID19 in all of 2020. This book… 	unitysf_240page	0	0	Twitter for Android	1351795645896679424
Wed Jan 20 17:43:18 +0000 2021	Did you know that you can transform your smartphone into your own personal health coach. From tracking COVID-19 sym… 		0	0	Twitter for iPhone	1351948432471154689
Wed Jan 20 16:05:49 +0000 2021	Good #riddance #COVID19 #Trump - #America needs to now recover		0	0	Twitter for iPhone	1351923899248754690
Thu Jan 21 04:32:09 +0000 2021	@WHO &amp; @CDCgov, can we rename #COVID19, the #TrumpVirus or DTV ?	WHO	0	0	Twitter for Android	1352111717883408390
Wed Jan 20 14:03:05 +0000 2021	I would too 		0	0	Twitter for iPhone	1351893009785380867
Thu Jan 21 03:10:15 +0000 2021	Look @GovPritzker , @ThomasMBennett , @jasonbarickman , &amp; @IDPH @IHSA, one of my favorite states is moving ahead wi… 		1	2	Twitter for iPhone	1352091109997084676
Wed Jan 20 17:14:06 +0000 2021	@smith_bahn @AlabamaMBB Got my 1st Phizer COVID-19 vaccine shot today. Didn’t even feel it. I am so happy. Light at… 	smith_bahn	0	1	Twitter for iPhone	1351941082481909768
Wed Jan 20 13:32:55 +0000 2021	#COVID19 has localized movements &amp; made members of our community seek safe alternatives to public transport. It's t… 		0	0	Twitter for Android	1351885420410400768
Wed Jan 20 22:41:18 +0000 2021	Frederick Hallrecruiting INC is proud to partner with @GridironFB_DFW This sat Jan 23 it's go time. Pre-register IN… 		1	2	Twitter for Android	1352023424902819846
Wed Jan 20 13:18:17 +0000 2021	The start of our realization of how traumatized Americans are by #COVID19 and it’s bungled management. A ceremony l… 		0	0	Twitter for iPhone	1351881737626910721
Thu Jan 21 00:39:44 +0000 2021	"Some interesting news for customers that own Hondas!Honda has just invented a ""car mask"" called ""Kurumask"" a new c… "		1	2	Twitter for iPhone	1352053230256078849
Wed Jan 20 06:53:04 +0000 2021	“Camp”  		0	0	Twitter for iPhone	1351784792585629696
Wed Jan 20 07:44:43 +0000 2021	This is my president and VP. Thanks you.  		1	2	Twitter for iPhone	1351797790695849985
Thu Jan 21 02:52:23 +0000 2021	"I just signed up on the ""Brad Hoylman's COVID-19 Testing Site at Penn South"" page for Volunteer   via @signupgenius"		0	0	Twitter for iPhone	1352086612444913664
Wed Jan 20 10:23:09 +0000 2021	Planning section for two events in one week. 2021 starting out strong.  #EOC #WorkLife #COVID19 #Inauguration2021 		1	5	Twitter for iPhone	1351837665277186050
Thu Jan 21 04:33:27 +0000 2021	It will is finished.  #ByeDon 		0	0	Twitter for iPhone	1352112047195086851
Wed Jan 20 15:02:12 +0000 2021	Now @SanAntonioPrep is educating students about @JoeBiden first 100 days initiative to combat COVID-19 and the impo… 		0	0	Twitter for Android	1351907887354929159
Wed Jan 20 11:55:13 +0000 2021	Indeed. I cried as I watched. A lot of those tears were relief and gratitude. 		0	7	Twitter for iPhone	1351860831806484481
Thu Jan 21 04:28:56 +0000 2021	It seems @JoeBiden will work from early in the morning until late in the evening, having many important meetings an… 		0	0	Twitter for iPhone	1352110907510452225
